记录号:	题名责任者项	出版发行项
37	传统体育 [海外中文图书] / 王建台[等]撰述	"台北 : [台湾]行政院体育委员会, [2011](中华民国100年)"
149	中华民国第十届道生杯全国国术锦标赛 [海外中文图书] / 林昌湘编著	"新北 : 道生中国兵器博物馆, [2017](民国106年)"
352	高小军武术工作文论选编 [专著]	"昆明 : 云南民族出版社, 2016, 2017印)"
361	陈氏太极拳图说 [专著]	"郑州 : 中州古籍出版社, 2016"
3	广东宗族武术发展研究 [博士论文] / 冯培明著 ; 程大力指导	", 2018"
7	西域武术文化研究 [博士论文] = Study on the culture of Wushu in the western regions / 刘祥友著 ; 郭志禹指导	", 2018"
11	杨家将武术文化与技法 [专著]	"西安 : 陕西人民教育出版社, 2018"
14	苗族武术文化研究 [博士论文] = Study on the culture of martial arts of Hmong in China / 吴明冬著 ; 姜传银指导	", 2018"
19	传统武术近代化转型研究 [博士论文] : 以民国武术期刊为中心 / 孟田著 ; 陈勇指导	", 2018"
24	君与君不与：中国古代武术竞赛历史文化研究 [博士论文] = Monarch participate and monarch doesn't participate : study on Chinese ancient Wushu competition history and culture / 张君贤著 ; 戴国斌指导	", 2018"
33	武术体悟教学研究 [博士论文] = Chinese martial arts teaching : an embodiment perspective / 李小进著 ; 赵光圣指导	", 2018"
39	点灯传薪 [海外中文图书] : 纪念铁胳臂王松亭大师 / 林昌湘著	"新北 : 道生中国兵器博物馆, [2018](107年)"
60	"闽台宋江阵的仪式、象征与认同研究 [博士论文] = A study on the ritual, symbol and identity of the Songjiang array in Fujian and Taiwan / 郭学松著 ; 方千华，杨海晨指导"	", 2018"
88	解释学视野下中国武术在非洲的传播与记忆研究 [博士论文] = Study of Chinese martial arts' communication and memories in Africa from the perspective of hermeneutics / (喀麦隆)大灵·德内·罗德里格(Taling Tene Rodrigue)著 ; 戴国斌指导	", 2017"
92	双重权威困境：民办武术学校管理冲突研究 [博士论文] = On the management contradiction of Wushu schools / 康涛著 ; 陈昌贵指导	", 2017"
94	东阳武林录 [专著]	"长春 : 吉林人民出版社, 2017"
102	京师武术文化研究 [博士论文] = Research on Wushu culture of capital : 以北京为个案 / 朱君著 ; 康戈武，郭志禹指导	", 2017"
115	武术身体教育之研究 [博士论文] = The research on Wushu physical education / 段丽梅著 ; 戴国斌指导	", 2017"
121	中华静修学 [专著]	"北京 : 金城出版社, 2017"
124	传统武术阴阳学说的源起及发展研究 [博士论文] / 王小兵著 ; 程大力指导	", 2017"
131	学校武术教育百年变迁研究（1915-2015） [博士论文] = A study on the changes of Wushu education in schools(1915-2015) / 王晓晨著 ; 赵光圣指导	", 2017"
132	中国武术发展中的社会问题研究 [博士论文] = Research on the social problems in the development of Wushu / 王柏利著 ; 王岗指导	", 2017"
148	武术缄默知识体系与教育实践研究 [博士论文] : 默会认识论视角 = Research on Wushu tacit knowledge system and educational practice : tacit knowing perspective / 陈新萌著 ; 赵光圣指导	", 2017"
156	11个武者 [电子资源.DVD] / 中华龙韵功夫表演团表演	"北京 : 金城音像出版社, [2017]"
172	"走读广东, 广东传统武术、民间舞蹈 [电子资源.DVD] / 唐璐，刘畅主持 ; 谢子夏，龚凯，唐璐解说"	"广州 : 广东海燕电子音像出版社, [2016]"
177	学校武术教育的当代困境与出路 [博士论文] / 宿继光著 ; 李金龙指导	", 2016"
182	武术修生论 [博士论文] = Theory of the unified one in Wushu / 张平安著 ; 虞定海指导	", 2016"
188	"中国传统武术伦理研究 [博士论文] : 人人、身心、天人的视野 = Chinese traditional Wushu ethics research : from the view of relationships between persons, body and mind, nature and man / 李守培著 ; 郭玉成指导"	", 2016"
189	近代以来中国武术价值观的变迁研究 [博士论文] = Study on the changes of view on value of Wushu in modern times / 李岩著 ; 王岗指导	", 2016"
195	我国武术赛事品牌建设研究 [博士论文] / 李臣著 ; 郑勤指导	", 2016"
201	中华武术伦理精神和中华魂的塑造 [博士论文] / 杨洋著 ; 任俊华指导	", 2016"
213	青藏武术文化研究 [博士论文] = Study on Qing Zang Wushu culture / 王明伟著 ; 郭志禹指导	", 2016"
